timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707550727243,302,"home/.well-known/shopify/monorail/unstable/produce_batch-2,678",200,OK,Stress Thread Group 3-1,,true,,1114,2292,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,302,0,0
1707550727296,311,"home/.well-known/shopify/monorail/unstable/produce_batch-2,678",200,OK,Smoke Thread Group 1-1,,true,,1116,2292,1,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,311,0,0
1707550727321,322,"home/-2,601",200,OK,Load Thread Group 2-3,text,true,,170507,722,3,7,https://supertails.com/,266,0,73
1707550727283,424,"home/-2,601",200,OK,Stress Thread Group 3-3,text,true,,170468,722,3,7,https://supertails.com/,411,0,94
1707550727655,65,"home/cdn/shop/t/462/compiled_assets/styles.css-2,606",200,OK,Load Thread Group 2-3,text,true,,1475,1267,3,7,https://supertails.com/cdn/shop/t/462/compiled_assets/styles.css?349329,65,0,0
1707550727427,347,"home/.well-known/shopify/monorail/unstable/produce_batch-2,610",200,OK,Load Thread Group 2-2,,true,,1114,1829,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,347,0,0
1707550727719,57,"home/cdn/shop/t/462/compiled_assets/styles.css-2,606",200,OK,Stress Thread Group 3-3,text,true,,1485,1267,3,7,https://supertails.com/cdn/shop/t/462/compiled_assets/styles.css?349329,57,0,0
1707550727721,62,"home/checkouts/internal/preloads.js-2,615",200,OK,Load Thread Group 2-3,text,true,,1855,1289,3,7,https://supertails.com/checkouts/internal/preloads.js?permanent-domain=supertail.myshopify.com&locale=en-IN,62,0,0
1707550727463,327,"home/.well-known/shopify/monorail/unstable/produce_batch-2,610",200,OK,Stress Thread Group 3-2,,true,,1124,1829,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,327,0,0
1707550727776,43,"home/cdn/shop/t/462/compiled_assets/scripts.js-2,616",200,OK,Load Thread Group 2-2,text,true,,1943,1253,3,7,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349329,43,0,0
1707550727777,57,"home/checkouts/internal/preloads.js-2,615",200,OK,Stress Thread Group 3-3,text,true,,1851,1289,3,7,https://supertails.com/checkouts/internal/preloads.js?permanent-domain=supertail.myshopify.com&locale=en-IN,56,0,0
1707550727791,51,"home/cdn/shop/t/462/compiled_assets/scripts.js-2,616",200,OK,Stress Thread Group 3-2,text,true,,1937,1253,3,7,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349329,51,0,0
1707550727540,306,"home/.well-known/shopify/monorail/unstable/produce_batch-2,677",200,OK,Load Thread Group 2-1,,true,,1120,1640,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,306,0,0
1707550727546,321,"home/.well-known/shopify/monorail/unstable/produce_batch-2,677",200,OK,Stress Thread Group 3-1,,true,,1114,1640,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,321,0,0
1707550727608,321,"home/.well-known/shopify/monorail/unstable/produce_batch-2,677",200,OK,Smoke Thread Group 1-1,,true,,1120,1640,1,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,321,0,0
1707550727785,337,"home/.well-known/shopify/monorail/unstable/produce_batch-2,610",200,OK,Load Thread Group 2-3,,true,,1118,1829,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,337,0,0
1707550727848,319,"home/.well-known/shopify/monorail/unstable/produce_batch-2,679",200,OK,Load Thread Group 2-1,,true,,1122,2500,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,319,0,0
1707550728124,43,"home/cdn/shop/t/462/compiled_assets/scripts.js-2,616",200,OK,Load Thread Group 2-3,text,true,,1931,1253,3,7,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349329,43,0,0
1707550727868,318,"home/.well-known/shopify/monorail/unstable/produce_batch-2,679",200,OK,Stress Thread Group 3-1,,true,,1114,2500,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,318,0,0
1707550727835,365,"home/.well-known/shopify/monorail/unstable/produce_batch-2,610",200,OK,Stress Thread Group 3-3,,true,,1114,1829,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,365,0,0
1707550727822,387,"home/cart/update.js-2,625",200,OK,Load Thread Group 2-2,text,true,,3102,1410,3,7,https://supertails.com/cart/update.js,387,0,0
1707550727844,371,"home/cart/update.js-2,625",200,OK,Stress Thread Group 3-2,text,true,,3108,1410,3,7,https://supertails.com/cart/update.js,371,0,0
1707550728202,42,"home/cdn/shop/t/462/compiled_assets/scripts.js-2,616",200,OK,Stress Thread Group 3-3,text,true,,1933,1253,3,7,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349329,42,0,0
1707550727931,333,"home/.well-known/shopify/monorail/unstable/produce_batch-2,679",200,OK,Smoke Thread Group 1-1,,true,,1116,2500,1,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,333,0,0
1707550728169,324,"home/.well-known/shopify/monorail/unstable/produce_batch-2,680",200,OK,Load Thread Group 2-1,,true,,1122,3289,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,324,0,0
1707550728188,310,"home/.well-known/shopify/monorail/unstable/produce_batch-2,680",200,OK,Stress Thread Group 3-1,,true,,1120,3289,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,310,0,0
1707550728212,303,"home/cart-2,630",200,OK,Load Thread Group 2-2,text,true,,4101,1300,3,7,https://supertails.com/cart?t=1707545490632&view=ajax,303,0,0
1707550728219,303,"home/cart-2,630",200,OK,Stress Thread Group 3-2,text,true,,4102,1300,3,7,https://supertails.com/cart?t=1707545490632&view=ajax,303,0,0
1707550728169,387,"home/cart/update.js-2,625",200,OK,Load Thread Group 2-3,text,true,,3106,1410,3,7,https://supertails.com/cart/update.js,387,0,0
1707550728265,312,"home/.well-known/shopify/monorail/unstable/produce_batch-2,680",200,OK,Smoke Thread Group 1-1,,true,,1116,3289,1,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,312,0,0
1707550728246,374,"home/cart/update.js-2,625",200,OK,Stress Thread Group 3-3,text,true,,3106,1410,3,7,https://supertails.com/cart/update.js,374,0,0
1707550728500,314,"home/cart.json-2,726",200,OK,Stress Thread Group 3-1,text,true,,2284,1260,3,7,https://supertails.com/cart.json,314,0,0
1707550728495,328,"home/cart.json-2,726",200,OK,Load Thread Group 2-1,text,true,,2283,1260,3,7,https://supertails.com/cart.json,328,0,0
1707550728559,298,"home/cart-2,630",200,OK,Load Thread Group 2-3,text,true,,4103,1300,3,7,https://supertails.com/cart?t=1707545490632&view=ajax,298,0,0
